NAME                                  VERSION           TYPE                         
@rails/actiontext                     8.0.500           npm                           
abbrev                                0.1.2             gem                           
acl-libs                              2.3.2-r1          apk                           
actioncable                           8.0.5             gem                           
actionmailbox                         8.0.5             gem                           
actionmailer                          8.0.5             gem                           
actionpack                            8.0.5             gem                           
actiontext                            8.0.5             gem                           
actionview                            8.0.5             gem                           
activejob                             8.0.5             gem                           
activejob-status                      1.0.2             gem                           
activejob-uniqueness                  0.4.0             gem                           
activemodel                           8.0.5             gem                           
activerecord                          8.0.5             gem                           
activerecord-enhancedsqlite3-adapter  0.8.0             gem                           
activerecord-nulldb-adapter           1.2.2             gem                           
activestorage                         8.0.5             gem                           
activesupport                         8.0.5             gem                           
acts-as-taggable-on                   13.0.0            gem                           
acts_as_favoritor                     6.0.2             gem                           
addressable                           2.9.0             gem                           
aes_key_wrap                          1.1.0             gem                           
alembic-libs                          1.8.11-r0         apk                           
alpine-baselayout                     3.7.2-r0          apk                           
alpine-baselayout-data                3.7.2-r0          apk                           
alpine-keys                           2.6-r0            apk                           
alpine-release                        3.23.5-r0         apk                           
altcha-rails                          0.1.0             gem                           
aom-libs                              3.14.1-r0         apk                           
apk-tools                             3.0.6-r0          apk                           
arel_extensions                       2.4.0             gem                           
assimp-dev                            6.0.4-r0          apk                           
assimp-libs                           6.0.4-r0          apk                           
attr_required                         1.0.2             gem                           
aws-eventstream                       1.4.0             gem                           
aws-partitions                        1.1261.0          gem                           
aws-sdk-core                          3.252.0           gem                           
aws-sdk-kms                           1.129.0           gem                           
aws-sdk-s3                            1.226.0           gem                           
aws-sigv4                             1.12.1            gem                           
base64                                0.2.0             gem                           
base64                                0.3.0             gem                           
bash                                  5.3.3-r1          apk                           
bcp47_spec                            0.2.1             gem                           
bcrypt                                3.1.22            gem                           
benchmark                             0.4.0             gem                           
benchmark                             0.5.0             gem                           
better_content_security_policy        0.1.4             gem                           
bigdecimal                            3.1.8             gem                           
bigdecimal                            3.3.1             gem                           
bindata                               2.5.1             gem                           
blosc                                 1.21.6-r0         apk                           
boost1.84-iostreams                   1.84.0-r3         apk                           
bootsnap                              1.24.6            gem                           
brakeman                              8.0.5             gem                           
brotli-libs                           1.2.0-r0          apk                           
browser                               6.2.0             gem                           
builder                               3.3.0             gem                           
bundler                               2.6.9             gem                           
bundler                               4.0.14            gem                           
bundler                               4.0.15            gem                           
busybox                               1.37.0-r30        apk                           
busybox-binsh                         1.37.0-r30        apk                           
c-ares                                1.34.6-r0         apk                           
ca-certificates                       20260611-r0       apk                           
ca-certificates-bundle                20260611-r0       apk                           
catatonit                             0.2.1-r0          apk                           
cgi                                   0.4.2             gem           (+1 duplicate)  
chunky_png                            1.4.0             gem                           
cocooned                              3.0.1             gem                           
concurrent-ruby                       1.3.7             gem                           
concurrent_ruby                       UNKNOWN           java-archive                  
connection_pool                       2.5.5             gem                           
content_disposition                   1.0.0             gem                           
corepack                              0.34.7            npm                           
coreutils                             9.8-r1            apk                           
coreutils-env                         9.8-r1            apk                           
coreutils-fmt                         9.8-r1            apk                           
coreutils-sha512sum                   9.8-r1            apk                           
crass                                 1.0.6             gem                           
cronex                                0.15.0            gem                           
csv                                   3.3.2             gem                           
csv                                   3.3.5             gem                           
curl                                  8.19.0-r0         apk                           
data_migrate                          11.3.1            gem                           
date                                  3.4.1             gem                           
date                                  3.5.1             gem                           
debug                                 1.11.0            gem                           
delegate                              0.4.0             gem                           
devise                                5.0.4             gem                           
devise_invitable                      2.0.12            gem                           
devise_zxcvbn                         6.0.0             gem                           
did_you_mean                          2.0.0             gem                           
digest                                3.2.0             gem                           
domain_name                           0.6.20240107      gem                           
doorkeeper                            5.9.3             gem                           
doorkeeper-i18n                       5.2.9             gem                           
double-conversion                     3.4.0-r0          apk                           
down                                  5.6.0             gem                           
drb                                   2.2.1             gem                           
drb                                   2.2.3             gem                           
dry-cli                               1.4.1             gem                           
ed25519                               1.4.0             gem                           
ed25519_jruby                         UNKNOWN           java-archive                  
email_validator                       2.2.4             gem                           
english                               0.8.0             gem                           
erb                                   4.0.4             gem                           
erb                                   6.0.4             gem                           
error_highlight                       0.7.0             gem                           
erubi                                 1.13.1            gem                           
et-orbi                               1.4.0             gem                           
etc                                   1.4.6             gem                           
eudev-libs                            3.2.14-r6         apk                           
f3d                                   3.5.0-r0          apk                           
faraday                               2.14.3            gem                           
faraday-follow_redirects              0.5.0             gem                           
faraday-multipart                     1.2.0             gem                           
faraday-net_http                      3.4.4             gem                           
fasp_client                           0.6.0             gem                           
fcntl                                 1.2.0             gem                           
federails-moderation                  0.4.0             gem                           
ffi                                   1.17.4            gem                           
ffi-compiler                          1.3.2             gem                           
ffi-libarchive                        1.1.14            gem                           
fftw-double-libs                      3.3.10-r7         apk                           
fiber-storage                         1.0.1             gem                           
fiddle                                1.1.6             gem                           
file                                  5.46-r2           apk                           
fileutils                             1.7.3             gem                           
find                                  0.2.0             gem                           
findutils                             4.10.0-r0         apk                           
fmt                                   11.2.0-r1         apk                           
fontconfig                            2.17.1-r0         apk                           
foreman                               0.90.0            gem                           
forwardable                           1.3.3             gem           (+1 duplicate)  
freeimage                             3.18.0-r5         apk                           
freetype                              2.14.1-r0         apk                           
fribidi                               1.0.16-r2         apk                           
fugit                                 1.12.1            gem                           
gcompat                               1.1.0-r4          apk                           
get_process_mem                       1.0.0             gem                           
getoptlong                            0.2.1             gem                           
glib                                  2.86.3-r0         apk                           
glob                                  0.4.1             gem                           
globalid                              1.3.0             gem                           
gmp                                   6.3.0-r4          apk                           
google-protobuf                       4.33.4            gem                           
graphite2                             1.3.14-r6         apk                           
graphlient                            0.8.0             gem                           
graphql                               2.5.26            gem                           
graphql-client                        0.26.0            gem                           
harfbuzz                              12.2.0-r0         apk                           
hashie                                5.0.0             gem                           
hdf5                                  1.14.4.2-r1       apk                           
hdf5-hl                               1.14.4.2-r1       apk                           
htmlentities                          4.4.2             gem                           
http                                  5.3.1             gem                           
http-cookie                           1.1.0             gem                           
http-form_data                        2.3.0             gem                           
hwdata-pci                            0.401-r0          apk                           
hwloc                                 2.12.2-r0         apk                           
i18n                                  1.14.8            gem                           
i18n-js                               4.2.4             gem                           
i18n_data                             1.1.0             gem                           
image_processing                      2.0.2             gem                           
imagemagick                           7.1.2.24-r0       apk                           
imagemagick-heic                      7.1.2.24-r0       apk                           
imagemagick-jpeg                      7.1.2.24-r0       apk                           
imagemagick-libs                      7.1.2.24-r0       apk                           
imagemagick-openexr                   7.1.2.24-r0       apk                           
imagemagick-tiff                      7.1.2.24-r0       apk                           
imagemagick-webp                      7.1.2.24-r0       apk                           
imath                                 3.2.2-r1          apk                           
io-console                            0.8.1             gem                           
io-console                            0.8.2             gem                           
io-nonblock                           0.3.2             gem                           
io-wait                               0.3.2             gem                           
ipaddr                                1.2.7             gem                           
irb                                   1.14.3            gem                           
irb                                   1.18.0            gem                           
jbuilder                              2.15.1            gem                           
jemalloc                              5.3.0-r6          apk                           
jmespath                              1.6.2             gem                           
job-iteration                         1.15.0            gem                           
jq                                    1.8.1-r0          apk                           
json                                  2.19.9            gem                           
json                                  2.9.1             gem                           
json-canonicalization                 1.0.0             gem                           
json-jwt                              1.17.0            gem                           
json-ld                               3.3.2             gem                           
json-ld-preloaded                     3.3.2             gem                           
json-schema                           6.0.0             gem                           
jsoncpp                               1.9.6-r1          apk                           
kaminari                              1.2.2             gem                           
kaminari-actionview                   1.2.2             gem                           
kaminari-activerecord                 1.2.2             gem                           
kaminari-core                         1.2.2             gem                           
kramdown                              2.5.2             gem                           
kramdown-parser-gfm                   1.1.0             gem                           
lcms2                                 2.19-r0           apk                           
libapk                                3.0.6-r0          apk                           
libarchive                            3.8.5-r0          apk                           
libattr                               2.5.2-r2          apk                           
libblkid                              2.41.4-r0         apk                           
libbsd                                0.12.2-r0         apk                           
libbz2                                1.0.8-r6          apk                           
libcrypto3                            3.5.7-r0          apk                           
libcurl                               8.19.0-r0         apk                           
libde265                              1.0.16-r0         apk                           
libdeflate                            1.25-r0           apk                           
libdrm                                2.4.131-r0        apk                           
libeconf                              0.8.3-r0          apk                           
libelf                                0.194-r0          apk                           
libexpat                              2.8.1-r0          apk                           
libffi                                3.5.2-r0          apk                           
libgcc                                15.2.0-r2         apk                           
libgomp                               15.2.0-r2         apk                           
libharu                               2.4.6-r0          apk                           
libheif                               1.23.0-r0         apk                           
libheif-aom                           1.23.0-r0         apk                           
libheif-jpeg                          1.23.0-r0         apk                           
libheif-x265                          1.23.0-r0         apk                           
libidn2                               2.3.8-r0          apk                           
libintl                               0.24.1-r1         apk                           
libjpeg-turbo                         3.1.2-r0          apk                           
libltdl                               2.5.4-r2          apk                           
libmagic                              5.46-r2           apk                           
libmd                                 1.1.0-r0          apk                           
libmount                              2.41.4-r0         apk                           
libncursesw                           6.5_p20251123-r0  apk                           
libogg                                1.3.6-r0          apk                           
libpciaccess                          0.18.1-r1         apk                           
libpng                                1.6.58-r1         apk                           
libpq                                 18.4-r0           apk                           
libproc2                              4.0.5-r0          apk                           
libpsl                                0.21.5-r3         apk                           
libraqm                               0.10.2-r0         apk                           
libsharpyuv                           1.6.0-r0          apk                           
libssl3                               3.5.7-r0          apk                           
libstdc++                             15.2.0-r2         apk                           
libsz                                 1.1.6-r0          apk                           
